receipt_no,title,category,department,assignee,status,priority,channel,region,satisfaction,received_at,due_at,completed_at
2026-102053,쓰레기 무단투기,환경,환경관리과,박주무관,완료,높음,이메일,평택시,5,2026-01-10 11:43:14,2026-01-19 11:43:14,2026-01-23 11:43:14
2026-100739,노인돌봄 신청,복지,사회복지과,이주무관,처리중,보통,방문,양주시,,2026-01-10 12:18:18,2026-01-16 12:18:18,
2026-100203,소음 공해 민원,환경,환경관리과,이주무관,처리중,보통,전화,구리시,,2026-01-10 12:18:26,2026-01-19 12:18:26,
2026-100638,재난위험시설 신고,안전,안전총괄과,김주무관,처리중,보통,온라인,용인시,,2026-01-10 12:42:43,2026-01-18 12:42:43,
2026-102187,노인돌봄 신청,복지,사회복지과,강주무관,처리중,보통,전화,부천시,,2026-01-10 13:04:29,2026-01-16 13:04:29,
2026-102204,도로 파손 신고,도로/교통,도로관리과,정주무관,처리중,낮음,온라인,고양시,,2026-01-10 15:39:00,2026-01-17 15:39:00,
2026-103789,민원처리 지연 항의,행정,민원행정과,김주무관,보류,보통,온라인,의왕시,,2026-01-10 15:59:19,2026-01-13 15:59:19,
2026-100154,노인돌봄 신청,복지,사회복지과,정주무관,완료,낮음,온라인,양주시,3,2026-01-10 16:18:02,2026-01-16 16:18:02,2026-01-14 16:18:02
2026-102048,증명서 발급 문의,행정,민원행정과,강주무관,처리중,보통,온라인,용인시,,2026-01-10 20:06:19,2026-01-13 20:06:19,
2026-101318,도로 파손 신고,도로/교통,도로관리과,강주무관,완료,보통,전화,안성시,4,2026-01-11 10:11:59,2026-01-18 10:11:59,2026-01-19 10:11:59
2026-102880,증명서 발급 문의,행정,민원행정과,정주무관,처리중,보통,전화,의왕시,,2026-01-11 17:52:48,2026-01-14 17:52:48,
2026-101237,도로 파손 신고,도로/교통,도로관리과,정주무관,처리중,높음,전화,군포시,,2026-01-12 00:12:11,2026-01-19 00:12:11,
2026-100478,행정서류 재발급,행정,민원행정과,최주무관,보류,보통,전화,고양시,,2026-01-12 07:29:48,2026-01-15 07:29:48,
2026-103595,주택 누수 하자,건축/주택,건축과,최주무관,완료,보통,전화,수원시,,2026-01-12 07:30:54,2026-01-24 07:30:54,2026-02-01 07:30:54
2026-102230,불법건축물 신고,건축/주택,건축과,정주무관,완료,낮음,이메일,광명시,,2026-01-12 08:00:19,2026-01-24 08:00:19,2026-01-26 08:00:19
2026-100540,쓰레기 무단투기,환경,환경관리과,조주무관,처리중,보통,이메일,화성시,,2026-01-12 11:27:22,2026-01-21 11:27:22,
2026-101041,노후축대 점검요청,안전,안전총괄과,이주무관,처리중,낮음,온라인,구리시,,2026-01-12 12:25:08,2026-01-20 12:25:08,
2026-102387,도로 파손 신고,도로/교통,도로관리과,윤주무관,완료,보통,방문,평택시,3,2026-01-12 13:03:08,2026-01-19 13:03:08,2026-01-26 13:03:08
2026-102035,증명서 발급 문의,행정,민원행정과,윤주무관,완료,보통,이메일,성남시,,2026-01-12 14:04:41,2026-01-15 14:04:41,2026-01-16 14:04:41
2026-100875,노후축대 점검요청,안전,안전총괄과,김주무관,처리중,보통,방문,안성시,,2026-01-12 15:39:27,2026-01-20 15:39:27,
2026-103949,불법건축물 신고,건축/주택,건축과,박주무관,처리중,낮음,방문,안양시,,2026-01-12 22:37:01,2026-01-24 22:37:01,
2026-103080,쓰레기 무단투기,환경,환경관리과,조주무관,완료,보통,이메일,가평군,5,2026-01-12 23:35:53,2026-01-21 23:35:53,2026-01-26 23:35:53
2026-103470,복지급여 문의,복지,사회복지과,박주무관,완료,낮음,방문,성남시,4,2026-01-13 08:14:42,2026-01-19 08:14:42,2026-01-15 08:14:42
2026-102897,소음 공해 민원,환경,환경관리과,이주무관,완료,낮음,전화,안산시,1,2026-01-13 08:36:25,2026-01-22 08:36:25,2026-01-27 08:36:25
2026-102213,악취 발생 신고,환경,환경관리과,최주무관,완료,보통,온라인,안산시,2,2026-01-13 09:13:35,2026-01-22 09:13:35,2026-01-28 09:13:35
2026-102888,증명서 발급 문의,행정,민원행정과,이주무관,완료,보통,방문,김포시,4,2026-01-13 09:54:01,2026-01-16 09:54:01,2026-01-15 09:54:01
2026-102018,소음 공해 민원,환경,환경관리과,김주무관,완료,보통,온라인,포천시,5,2026-01-13 10:52:09,2026-01-22 10:52:09,2026-01-22 10:52:09
2026-103157,행정서류 재발급,행정,민원행정과,최주무관,처리중,보통,방문,포천시,,2026-01-13 13:30:09,2026-01-16 13:30:09,
2026-103286,주택 누수 하자,건축/주택,건축과,강주무관,처리중,보통,온라인,수원시,,2026-01-13 14:11:00,2026-01-25 14:11:00,
2026-101961,도로 파손 신고,도로/교통,도로관리과,최주무관,처리중,보통,온라인,의왕시,,2026-01-13 14:18:22,2026-01-20 14:18:22,
2026-102483,노후축대 점검요청,안전,안전총괄과,조주무관,처리중,보통,온라인,수원시,,2026-01-13 16:22:43,2026-01-21 16:22:43,
2026-100082,주택 누수 하자,건축/주택,건축과,조주무관,완료,높음,방문,가평군,,2026-01-13 16:29:04,2026-01-25 16:29:04,2026-01-17 16:29:04
2026-101087,불법 주정차 신고,도로/교통,도로관리과,박주무관,완료,높음,온라인,수원시,3,2026-01-13 22:56:23,2026-01-20 22:56:23,2026-01-14 22:56:23
2026-102393,소음 공해 민원,환경,환경관리과,박주무관,처리중,보통,온라인,여주시,,2026-01-14 10:30:05,2026-01-23 10:30:05,
2026-101239,장애인 편의 요청,복지,사회복지과,김주무관,완료,보통,온라인,하남시,4,2026-01-14 11:48:15,2026-01-20 11:48:15,2026-01-21 11:48:15
2026-103837,복지급여 문의,복지,사회복지과,정주무관,처리중,낮음,전화,하남시,,2026-01-14 12:22:14,2026-01-20 12:22:14,
2026-101859,증명서 발급 문의,행정,민원행정과,박주무관,완료,보통,온라인,군포시,5,2026-01-14 13:40:48,2026-01-17 13:40:48,2026-01-18 13:40:48
2026-102098,건축허가 문의,건축/주택,건축과,윤주무관,완료,보통,방문,수원시,5,2026-01-14 15:39:02,2026-01-26 15:39:02,2026-01-30 15:39:02
2026-101461,증명서 발급 문의,행정,민원행정과,강주무관,접수,낮음,이메일,화성시,,2026-01-14 17:39:57,2026-01-17 17:39:57,
2026-102511,불법건축물 신고,건축/주택,건축과,박주무관,처리중,보통,온라인,용인시,,2026-01-15 07:32:21,2026-01-27 07:32:21,
2026-101821,악취 발생 신고,환경,환경관리과,윤주무관,완료,낮음,이메일,수원시,2,2026-01-15 09:10:38,2026-01-24 09:10:38,2026-01-30 09:10:38
2026-101203,도로 파손 신고,도로/교통,도로관리과,박주무관,완료,보통,이메일,남양주시,5,2026-01-15 09:56:08,2026-01-22 09:56:08,2026-01-19 09:56:08
2026-100462,신호등 고장 신고,도로/교통,도로관리과,정주무관,완료,낮음,전화,수원시,5,2026-01-15 10:02:44,2026-01-22 10:02:44,2026-01-28 10:02:44
2026-100370,건축허가 문의,건축/주택,건축과,김주무관,완료,보통,전화,남양주시,,2026-01-15 10:23:35,2026-01-27 10:23:35,2026-01-29 10:23:35
2026-102955,소음 공해 민원,환경,환경관리과,정주무관,접수,보통,온라인,양평군,,2026-01-15 11:12:11,2026-01-24 11:12:11,
2026-101136,민원처리 지연 항의,행정,민원행정과,조주무관,완료,보통,방문,용인시,5,2026-01-15 12:20:46,2026-01-18 12:20:46,2026-01-21 12:20:46
2026-102011,소음 공해 민원,환경,환경관리과,이주무관,처리중,보통,방문,여주시,,2026-01-15 12:40:37,2026-01-24 12:40:37,
2026-101189,도서관 운영 건의,문화/체육,문화체육과,최주무관,완료,보통,이메일,용인시,5,2026-01-15 12:42:43,2026-01-20 12:42:43,2026-01-24 12:42:43
2026-101003,장애인 편의 요청,복지,사회복지과,조주무관,접수,낮음,온라인,양평군,,2026-01-15 12:49:44,2026-01-21 12:49:44,
2026-103106,민원처리 지연 항의,행정,민원행정과,강주무관,처리중,보통,방문,과천시,,2026-01-15 15:11:14,2026-01-18 15:11:14,
2026-100955,주택 누수 하자,건축/주택,건축과,조주무관,완료,보통,전화,포천시,,2026-01-15 16:23:07,2026-01-27 16:23:07,2026-02-03 16:23:07
2026-102848,증명서 발급 문의,행정,민원행정과,이주무관,처리중,낮음,방문,구리시,,2026-01-15 16:30:12,2026-01-18 16:30:12,
2026-103051,악취 발생 신고,환경,환경관리과,최주무관,처리중,보통,이메일,수원시,,2026-01-15 17:12:29,2026-01-24 17:12:29,
2026-103952,장애인 편의 요청,복지,사회복지과,윤주무관,처리중,보통,방문,김포시,,2026-01-15 17:39:59,2026-01-21 17:39:59,
2026-100862,쓰레기 무단투기,환경,환경관리과,이주무관,완료,보통,전화,시흥시,5,2026-01-15 18:16:24,2026-01-24 18:16:24,2026-01-28 18:16:24
2026-100836,화재위험 신고,안전,안전총괄과,이주무관,완료,낮음,온라인,남양주시,5,2026-01-15 19:17:19,2026-01-23 19:17:19,2026-01-19 19:17:19
2026-103029,도로 파손 신고,도로/교통,도로관리과,윤주무관,처리중,보통,전화,군포시,,2026-01-15 20:54:20,2026-01-22 20:54:20,
2026-103955,건축허가 문의,건축/주택,건축과,강주무관,완료,높음,온라인,수원시,5,2026-01-16 05:54:06,2026-01-28 05:54:06,2026-01-19 05:54:06
2026-100321,장애인 편의 요청,복지,사회복지과,정주무관,완료,보통,온라인,평택시,4,2026-01-16 05:59:20,2026-01-22 05:59:20,2026-01-24 05:59:20
2026-103661,도서관 운영 건의,문화/체육,문화체육과,박주무관,처리중,보통,방문,안양시,,2026-01-16 08:50:18,2026-01-21 08:50:18,
2026-103649,소음 공해 민원,환경,환경관리과,이주무관,완료,높음,온라인,안양시,3,2026-01-16 09:12:30,2026-01-25 09:12:30,2026-01-17 09:12:30
2026-103800,노후축대 점검요청,안전,안전총괄과,최주무관,완료,보통,온라인,고양시,2,2026-01-16 09:16:06,2026-01-24 09:16:06,2026-01-24 09:16:06
2026-103748,건축허가 문의,건축/주택,건축과,윤주무관,완료,보통,전화,이천시,,2026-01-16 11:02:49,2026-01-28 11:02:49,2026-01-24 11:02:49
2026-100262,행정서류 재발급,행정,민원행정과,최주무관,완료,보통,온라인,수원시,5,2026-01-16 11:35:46,2026-01-19 11:35:46,2026-01-22 11:35:46
2026-103039,도로 파손 신고,도로/교통,도로관리과,최주무관,완료,보통,방문,광주시,5,2026-01-16 11:44:58,2026-01-23 11:44:58,2026-01-23 11:44:58
2026-100633,악취 발생 신고,환경,환경관리과,윤주무관,완료,낮음,이메일,파주시,5,2026-01-16 12:15:04,2026-01-25 12:15:04,2026-01-30 12:15:04
2026-102908,소음 공해 민원,환경,환경관리과,정주무관,접수,보통,이메일,고양시,,2026-01-16 12:18:10,2026-01-25 12:18:10,
2026-101090,악취 발생 신고,환경,환경관리과,김주무관,반려,높음,방문,군포시,,2026-01-16 13:08:55,2026-01-25 13:08:55,
2026-102123,건축허가 문의,건축/주택,건축과,정주무관,완료,낮음,이메일,안양시,3,2026-01-16 13:55:45,2026-01-28 13:55:45,2026-02-09 13:55:45
2026-100677,신호등 고장 신고,도로/교통,도로관리과,조주무관,접수,보통,이메일,광주시,,2026-01-16 14:48:02,2026-01-23 14:48:02,
2026-102637,노인돌봄 신청,복지,사회복지과,강주무관,처리중,높음,전화,파주시,,2026-01-16 14:59:31,2026-01-22 14:59:31,
2026-101873,도서관 운영 건의,문화/체육,문화체육과,이주무관,처리중,보통,방문,고양시,,2026-01-16 15:35:56,2026-01-21 15:35:56,
2026-102775,악취 발생 신고,환경,환경관리과,박주무관,처리중,보통,이메일,부천시,,2026-01-16 15:56:20,2026-01-25 15:56:20,
2026-100196,신호등 고장 신고,도로/교통,도로관리과,박주무관,완료,보통,이메일,성남시,4,2026-01-16 16:24:51,2026-01-23 16:24:51,2026-01-29 16:24:51
2026-102152,도로 파손 신고,도로/교통,도로관리과,김주무관,처리중,보통,온라인,과천시,,2026-01-16 17:22:23,2026-01-23 17:22:23,
2026-102181,건축허가 문의,건축/주택,건축과,윤주무관,완료,보통,온라인,수원시,4,2026-01-16 17:28:47,2026-01-28 17:28:47,2026-01-22 17:28:47
2026-101267,노인돌봄 신청,복지,사회복지과,김주무관,완료,보통,이메일,연천군,3,2026-01-17 08:39:53,2026-01-23 08:39:53,2026-01-26 08:39:53
2026-103055,장애인 편의 요청,복지,사회복지과,윤주무관,완료,높음,전화,파주시,5,2026-01-17 10:29:59,2026-01-23 10:29:59,2026-01-20 10:29:59
2026-102639,행정서류 재발급,행정,민원행정과,정주무관,완료,보통,온라인,여주시,5,2026-01-17 13:18:35,2026-01-20 13:18:35,2026-01-22 13:18:35
2026-103102,주택 누수 하자,건축/주택,건축과,최주무관,처리중,높음,온라인,부천시,,2026-01-17 14:56:37,2026-01-29 14:56:37,
2026-103819,도로 파손 신고,도로/교통,도로관리과,최주무관,완료,보통,방문,파주시,,2026-01-17 16:07:23,2026-01-24 16:07:23,2026-01-24 16:07:23
2026-101416,장애인 편의 요청,복지,사회복지과,이주무관,접수,보통,이메일,안양시,,2026-01-17 17:00:02,2026-01-23 17:00:02,
2026-103243,체육시설 예약,문화/체육,문화체육과,윤주무관,처리중,낮음,온라인,평택시,,2026-01-17 17:36:23,2026-01-22 17:36:23,
2026-101311,재난위험시설 신고,안전,안전총괄과,조주무관,보류,보통,이메일,가평군,,2026-01-17 19:44:46,2026-01-25 19:44:46,
2026-103460,도로 파손 신고,도로/교통,도로관리과,이주무관,완료,보통,이메일,안성시,2,2026-01-18 11:45:50,2026-01-25 11:45:50,2026-01-22 11:45:50
2026-100864,화재위험 신고,안전,안전총괄과,김주무관,완료,보통,방문,화성시,5,2026-01-18 14:56:03,2026-01-26 14:56:03,2026-01-22 14:56:03
2026-102629,민원처리 지연 항의,행정,민원행정과,김주무관,완료,보통,이메일,양주시,4,2026-01-19 00:18:08,2026-01-22 00:18:08,2026-01-21 00:18:08
2026-101345,화재위험 신고,안전,안전총괄과,최주무관,처리중,보통,방문,수원시,,2026-01-19 08:35:58,2026-01-27 08:35:58,
2026-102114,쓰레기 무단투기,환경,환경관리과,조주무관,접수,낮음,전화,화성시,,2026-01-19 09:38:06,2026-01-28 09:38:06,
2026-102127,장애인 편의 요청,복지,사회복지과,조주무관,처리중,보통,온라인,고양시,,2026-01-19 11:03:12,2026-01-25 11:03:12,
2026-100033,도로 파손 신고,도로/교통,도로관리과,최주무관,접수,보통,방문,남양주시,,2026-01-19 11:18:35,2026-01-26 11:18:35,
2026-100044,노인돌봄 신청,복지,사회복지과,정주무관,완료,보통,온라인,구리시,,2026-01-19 11:56:24,2026-01-25 11:56:24,2026-01-23 11:56:24
2026-102967,복지급여 문의,복지,사회복지과,최주무관,처리중,보통,이메일,고양시,,2026-01-19 13:17:21,2026-01-25 13:17:21,
2026-101359,불법 주정차 신고,도로/교통,도로관리과,이주무관,완료,보통,온라인,양평군,5,2026-01-19 13:24:19,2026-01-26 13:24:19,2026-01-30 13:24:19
2026-101395,악취 발생 신고,환경,환경관리과,조주무관,완료,낮음,방문,김포시,,2026-01-19 13:58:25,2026-01-28 13:58:25,2026-01-31 13:58:25
2026-101308,신호등 고장 신고,도로/교통,도로관리과,강주무관,접수,보통,방문,수원시,,2026-01-19 14:05:25,2026-01-26 14:05:25,
2026-102891,악취 발생 신고,환경,환경관리과,윤주무관,완료,낮음,온라인,용인시,3,2026-01-19 15:00:05,2026-01-28 15:00:05,2026-01-28 15:00:05
2026-101576,악취 발생 신고,환경,환경관리과,최주무관,접수,보통,방문,시흥시,,2026-01-19 16:17:15,2026-01-28 16:17:15,
2026-103526,재난위험시설 신고,안전,안전총괄과,윤주무관,완료,보통,온라인,안성시,2,2026-01-20 00:22:53,2026-01-28 00:22:53,2026-02-03 00:22:53
2026-101452,주택 누수 하자,건축/주택,건축과,이주무관,완료,보통,이메일,양평군,5,2026-01-20 08:31:40,2026-02-01 08:31:40,2026-02-06 08:31:40
2026-102534,화재위험 신고,안전,안전총괄과,강주무관,처리중,높음,이메일,부천시,,2026-01-20 08:36:01,2026-01-28 08:36:01,
2026-102963,쓰레기 무단투기,환경,환경관리과,조주무관,처리중,보통,방문,수원시,,2026-01-20 08:46:14,2026-01-29 08:46:14,
2026-102029,민원처리 지연 항의,행정,민원행정과,김주무관,완료,보통,이메일,안산시,5,2026-01-20 09:35:58,2026-01-23 09:35:58,2026-01-24 09:35:58
2026-103227,도로 파손 신고,도로/교통,도로관리과,조주무관,접수,보통,전화,양주시,,2026-01-20 09:59:14,2026-01-27 09:59:14,
2026-103423,불법건축물 신고,건축/주택,건축과,최주무관,완료,높음,온라인,부천시,2,2026-01-20 10:52:21,2026-02-01 10:52:21,2026-02-04 10:52:21
2026-103407,불법 주정차 신고,도로/교통,도로관리과,정주무관,완료,낮음,온라인,광주시,,2026-01-20 12:12:46,2026-01-27 12:12:46,2026-01-22 12:12:46
2026-103105,악취 발생 신고,환경,환경관리과,강주무관,접수,낮음,이메일,가평군,,2026-01-20 13:18:49,2026-01-29 13:18:49,
2026-102710,악취 발생 신고,환경,환경관리과,이주무관,완료,보통,온라인,포천시,4,2026-01-20 15:02:54,2026-01-29 15:02:54,2026-01-24 15:02:54
2026-102635,건축허가 문의,건축/주택,건축과,김주무관,완료,보통,방문,용인시,4,2026-01-20 15:32:36,2026-02-01 15:32:36,2026-01-24 15:32:36
2026-103717,불법 주정차 신고,도로/교통,도로관리과,김주무관,완료,낮음,온라인,포천시,,2026-01-20 15:43:08,2026-01-27 15:43:08,2026-01-26 15:43:08
2026-103863,악취 발생 신고,환경,환경관리과,조주무관,처리중,보통,전화,남양주시,,2026-01-20 17:14:12,2026-01-29 17:14:12,
2026-100992,소음 공해 민원,환경,환경관리과,정주무관,완료,보통,방문,평택시,5,2026-01-20 20:30:41,2026-01-29 20:30:41,2026-01-31 20:30:41
2026-103847,불법건축물 신고,건축/주택,건축과,정주무관,반려,보통,방문,시흥시,,2026-01-20 21:51:25,2026-02-01 21:51:25,
2026-102106,노인돌봄 신청,복지,사회복지과,이주무관,완료,낮음,온라인,광주시,5,2026-01-20 22:43:40,2026-01-26 22:43:40,2026-01-28 22:43:40
2026-100151,건축허가 문의,건축/주택,건축과,강주무관,완료,보통,온라인,시흥시,,2026-01-20 23:30:33,2026-02-01 23:30:33,2026-01-30 23:30:33
2026-103872,장애인 편의 요청,복지,사회복지과,정주무관,완료,보통,방문,연천군,5,2026-01-21 07:13:20,2026-01-27 07:13:20,2026-01-29 07:13:20
2026-100906,불법 주정차 신고,도로/교통,도로관리과,윤주무관,접수,보통,전화,남양주시,,2026-01-21 10:20:26,2026-01-28 10:20:26,
2026-101505,복지급여 문의,복지,사회복지과,강주무관,완료,보통,전화,안성시,2,2026-01-21 11:12:29,2026-01-27 11:12:29,2026-01-22 11:12:29
2026-103375,민원처리 지연 항의,행정,민원행정과,정주무관,완료,보통,방문,의왕시,2,2026-01-21 11:19:59,2026-01-24 11:19:59,2026-01-26 11:19:59
2026-102928,노인돌봄 신청,복지,사회복지과,강주무관,접수,낮음,이메일,군포시,,2026-01-21 12:14:31,2026-01-27 12:14:31,
2026-103146,건축허가 문의,건축/주택,건축과,강주무관,완료,높음,이메일,성남시,3,2026-01-21 13:20:18,2026-02-02 13:20:18,2026-01-30 13:20:18
2026-100854,화재위험 신고,안전,안전총괄과,조주무관,처리중,보통,온라인,수원시,,2026-01-21 13:37:22,2026-01-29 13:37:22,
2026-102268,복지급여 문의,복지,사회복지과,강주무관,완료,높음,방문,용인시,4,2026-01-21 13:43:26,2026-01-27 13:43:26,2026-02-01 13:43:26
2026-101628,화재위험 신고,안전,안전총괄과,정주무관,처리중,높음,이메일,남양주시,,2026-01-21 14:13:21,2026-01-29 14:13:21,
2026-103228,소음 공해 민원,환경,환경관리과,최주무관,처리중,보통,온라인,평택시,,2026-01-21 14:18:06,2026-01-30 14:18:06,
2026-101663,쓰레기 무단투기,환경,환경관리과,김주무관,접수,보통,온라인,안산시,,2026-01-21 15:17:26,2026-01-30 15:17:26,
2026-102176,악취 발생 신고,환경,환경관리과,이주무관,접수,낮음,전화,이천시,,2026-01-21 15:53:47,2026-01-30 15:53:47,
2026-102889,쓰레기 무단투기,환경,환경관리과,윤주무관,완료,높음,온라인,안산시,4,2026-01-21 16:00:33,2026-01-30 16:00:33,2026-01-26 16:00:33
2026-103864,건축허가 문의,건축/주택,건축과,조주무관,보류,낮음,이메일,양주시,,2026-01-21 16:41:36,2026-02-02 16:41:36,
2026-101958,악취 발생 신고,환경,환경관리과,정주무관,처리중,보통,이메일,하남시,,2026-01-21 16:51:00,2026-01-30 16:51:00,
2026-103197,쓰레기 무단투기,환경,환경관리과,박주무관,완료,보통,온라인,광명시,5,2026-01-21 17:54:39,2026-01-30 17:54:39,2026-02-07 17:54:39
2026-101470,노후축대 점검요청,안전,안전총괄과,정주무관,완료,높음,전화,고양시,4,2026-01-21 17:55:11,2026-01-29 17:55:11,2026-01-23 17:55:11
2026-103504,건축허가 문의,건축/주택,건축과,정주무관,처리중,보통,온라인,안산시,,2026-01-21 18:50:59,2026-02-02 18:50:59,
2026-102296,불법 주정차 신고,도로/교통,도로관리과,김주무관,보류,낮음,온라인,안양시,,2026-01-22 03:03:21,2026-01-29 03:03:21,
2026-102809,민원처리 지연 항의,행정,민원행정과,최주무관,처리중,보통,전화,포천시,,2026-01-22 06:10:17,2026-01-25 06:10:17,
2026-101295,악취 발생 신고,환경,환경관리과,윤주무관,완료,보통,이메일,의정부시,3,2026-01-22 06:26:49,2026-01-31 06:26:49,2026-01-26 06:26:49
2026-103260,쓰레기 무단투기,환경,환경관리과,최주무관,완료,보통,온라인,부천시,4,2026-01-22 07:27:21,2026-01-31 07:27:21,2026-02-07 07:27:21
2026-103885,소음 공해 민원,환경,환경관리과,최주무관,처리중,보통,온라인,수원시,,2026-01-22 09:48:33,2026-01-31 09:48:33,
2026-100542,노후축대 점검요청,안전,안전총괄과,강주무관,완료,높음,전화,고양시,3,2026-01-22 11:06:51,2026-01-30 11:06:51,2026-01-30 11:06:51
2026-100622,체육시설 예약,문화/체육,문화체육과,김주무관,처리중,보통,방문,여주시,,2026-01-22 11:29:38,2026-01-27 11:29:38,
2026-103621,도로 파손 신고,도로/교통,도로관리과,이주무관,완료,보통,온라인,하남시,,2026-01-22 11:32:21,2026-01-29 11:32:21,2026-01-25 11:32:21
2026-101871,주택 누수 하자,건축/주택,건축과,조주무관,완료,보통,전화,고양시,5,2026-01-22 12:03:35,2026-02-03 12:03:35,2026-02-05 12:03:35
2026-100325,장애인 편의 요청,복지,사회복지과,이주무관,완료,보통,방문,고양시,4,2026-01-22 12:06:10,2026-01-28 12:06:10,2026-02-03 12:06:10
2026-100999,쓰레기 무단투기,환경,환경관리과,최주무관,처리중,높음,온라인,하남시,,2026-01-22 12:29:23,2026-01-31 12:29:23,
2026-103084,건축허가 문의,건축/주택,건축과,김주무관,처리중,보통,이메일,의왕시,,2026-01-22 13:54:11,2026-02-03 13:54:11,
2026-101153,건축허가 문의,건축/주택,건축과,윤주무관,완료,높음,온라인,김포시,,2026-01-22 15:01:12,2026-02-03 15:01:12,2026-02-08 15:01:12
2026-102921,체육시설 예약,문화/체육,문화체육과,조주무관,완료,보통,방문,고양시,3,2026-01-22 15:45:55,2026-01-27 15:45:55,2026-01-28 15:45:55
2026-101787,건축허가 문의,건축/주택,건축과,윤주무관,처리중,높음,온라인,광명시,,2026-01-22 15:47:30,2026-02-03 15:47:30,
2026-101322,체육시설 예약,문화/체육,문화체육과,정주무관,보류,보통,온라인,용인시,,2026-01-22 15:49:43,2026-01-27 15:49:43,
2026-102185,도로 파손 신고,도로/교통,도로관리과,윤주무관,완료,낮음,온라인,안산시,4,2026-01-22 15:54:50,2026-01-29 15:54:50,2026-02-01 15:54:50
2026-102526,재난위험시설 신고,안전,안전총괄과,이주무관,완료,보통,전화,안산시,5,2026-01-22 16:18:26,2026-01-30 16:18:26,2026-01-28 16:18:26
2026-102002,쓰레기 무단투기,환경,환경관리과,조주무관,완료,높음,온라인,수원시,4,2026-01-22 16:45:03,2026-01-31 16:45:03,2026-01-25 16:45:03
2026-100881,행정서류 재발급,행정,민원행정과,김주무관,완료,보통,전화,김포시,5,2026-01-23 07:45:16,2026-01-26 07:45:16,2026-01-29 07:45:16
2026-101456,화재위험 신고,안전,안전총괄과,박주무관,처리중,높음,온라인,양평군,,2026-01-23 08:13:55,2026-01-31 08:13:55,
2026-100147,불법 주정차 신고,도로/교통,도로관리과,강주무관,접수,보통,이메일,안양시,,2026-01-23 09:39:47,2026-01-30 09:39:47,
2026-103729,재난위험시설 신고,안전,안전총괄과,윤주무관,처리중,보통,온라인,수원시,,2026-01-23 10:38:59,2026-01-31 10:38:59,
2026-101073,행정서류 재발급,행정,민원행정과,김주무관,완료,보통,전화,수원시,5,2026-01-23 11:34:01,2026-01-26 11:34:01,2026-01-27 11:34:01
2026-103968,도로 파손 신고,도로/교통,도로관리과,최주무관,접수,높음,이메일,성남시,,2026-01-23 11:51:19,2026-01-30 11:51:19,
2026-102211,주택 누수 하자,건축/주택,건축과,정주무관,접수,보통,방문,부천시,,2026-01-23 12:16:40,2026-02-04 12:16:40,
2026-101084,도로 파손 신고,도로/교통,도로관리과,박주무관,완료,낮음,온라인,남양주시,4,2026-01-23 12:45:11,2026-01-30 12:45:11,2026-01-28 12:45:11
2026-102975,쓰레기 무단투기,환경,환경관리과,조주무관,처리중,높음,온라인,수원시,,2026-01-23 12:53:51,2026-02-01 12:53:51,
2026-102107,불법건축물 신고,건축/주택,건축과,박주무관,완료,높음,온라인,용인시,,2026-01-23 13:11:47,2026-02-04 13:11:47,2026-02-06 13:11:47
2026-103568,노인돌봄 신청,복지,사회복지과,조주무관,완료,보통,이메일,광명시,,2026-01-23 14:03:48,2026-01-29 14:03:48,2026-01-28 14:03:48
2026-101826,악취 발생 신고,환경,환경관리과,이주무관,접수,낮음,전화,양주시,,2026-01-23 15:07:36,2026-02-01 15:07:36,
2026-103348,복지급여 문의,복지,사회복지과,윤주무관,완료,보통,전화,의정부시,5,2026-01-23 22:58:18,2026-01-29 22:58:18,2026-01-28 22:58:18
2026-101500,노후축대 점검요청,안전,안전총괄과,조주무관,보류,높음,온라인,용인시,,2026-01-24 09:51:03,2026-02-01 09:51:03,
2026-103040,신호등 고장 신고,도로/교통,도로관리과,최주무관,완료,보통,온라인,양주시,4,2026-01-24 10:15:31,2026-01-31 10:15:31,2026-01-30 10:15:31
2026-100456,화재위험 신고,안전,안전총괄과,조주무관,완료,높음,온라인,구리시,2,2026-01-24 11:27:34,2026-02-01 11:27:34,2026-01-28 11:27:34
2026-101960,문화행사 문의,문화/체육,문화체육과,강주무관,완료,보통,전화,안산시,3,2026-01-24 11:53:31,2026-01-29 11:53:31,2026-01-30 11:53:31
2026-100071,도로 파손 신고,도로/교통,도로관리과,윤주무관,완료,낮음,전화,가평군,5,2026-01-24 14:51:24,2026-01-31 14:51:24,2026-01-30 14:51:24
2026-103241,도로 파손 신고,도로/교통,도로관리과,이주무관,처리중,보통,온라인,하남시,,2026-01-24 14:55:16,2026-01-31 14:55:16,
2026-103962,소음 공해 민원,환경,환경관리과,박주무관,완료,보통,온라인,성남시,3,2026-01-24 22:00:45,2026-02-02 22:00:45,2026-01-28 22:00:45
2026-100887,악취 발생 신고,환경,환경관리과,조주무관,처리중,낮음,온라인,화성시,,2026-01-25 08:15:28,2026-02-03 08:15:28,
2026-101733,민원처리 지연 항의,행정,민원행정과,이주무관,처리중,낮음,이메일,수원시,,2026-01-25 10:12:10,2026-01-28 10:12:10,
2026-100537,신호등 고장 신고,도로/교통,도로관리과,박주무관,완료,낮음,온라인,평택시,5,2026-01-25 12:02:02,2026-02-01 12:02:02,2026-01-28 12:02:02
